,City Name,City Country,City ID,City Lat,City Long,Temps (F),Humidity %,Cloudiness %,Windspeed (mph),City Datetime
0,ujiie,JP,1849367,36.68,139.97,48.2,93,75,13.87,1580179815
1,puerto madryn,AR,3840092,-42.77,-65.04,77.14,17,10,15.21,1580179816
2,antofagasta,CL,3899539,-23.65,-70.4,72.0,88,90,8.05,1580179816
3,lompoc,US,5367788,34.64,-120.46,60.01,93,1,11.41,1580179200
4,port elizabeth,ZA,964420,-33.92,25.57,57.2,71,33,4.7,1580179802
5,narsaq,GL,3421719,60.92,-46.05,14.0,56,80,5.82,1580179245
6,xuchang,CN,1788046,34.02,113.82,39.2,69,0,2.24,1580179600
7,bluff,NZ,2206939,-46.6,168.33,68.0,54,97,7.0,1580179820
8,pevek,RU,2122090,69.7,170.31,-0.11,87,100,2.39,1580179821
9,desaguadero,PE,3941492,-16.57,-69.04,48.96,73,100,4.99,1580179821
10,ushuaia,AR,3833367,-54.8,-68.3,46.4,93,75,8.05,1580179572
11,rikitea,PF,4030556,-23.12,-134.97,80.13,75,71,7.4,1580179822
12,chuy,UY,3443061,-33.7,-53.46,60.3,76,0,4.99,1580179254
13,severomorsk,RU,496278,69.07,33.42,-27.4,67,40,3.87,1580179824
14,ixtapa,MX,4004293,20.7,-105.2,75.2,73,75,3.2,1580179559
15,mataura,NZ,6201424,-46.19,168.86,68.0,54,67,7.0,1580179825
16,qaanaaq,GL,3831208,77.48,-69.36,-11.9,67,48,3.2,1580179826
17,port alfred,ZA,964432,-33.59,26.89,60.01,68,13,1.01,1580179828
18,hermanus,ZA,3366880,-34.42,19.23,59.0,97,10,7.16,1580179829
19,dargaville,NZ,2191911,-35.93,173.88,74.52,70,75,8.5,1580179804
20,skive,DK,2613731,56.57,9.03,42.8,93,100,5.82,1580179830
21,lorengau,PG,2092164,-2.02,147.27,84.33,78,97,12.57,1580179831
22,punta arenas,CL,3874787,-53.15,-70.92,46.4,81,41,11.41,1580179695
23,hami,CN,1529484,42.8,93.45,12.42,73,24,1.7,1580179504
24,sarangani,PH,1687186,5.4,125.46,82.8,77,91,11.48,1580179833
25,miyako,JP,2111884,39.64,141.95,39.13,63,100,11.92,1580179833
26,kavieng,PG,2094342,-2.57,150.8,85.06,73,6,10.16,1580179834
27,mapiripan,CO,3792394,2.89,-72.13,79.83,60,80,4.12,1580179834
28,chokurdakh,RU,2126123,70.63,147.92,-21.78,97,100,8.5,1580179835
29,muriwai beach,NZ,2186363,-36.82,174.45,78.01,73,60,11.41,1580179466
30,egvekinot,RU,4031742,66.32,-179.17,-9.81,89,0,6.49,1580179417
31,sambava,MG,1056899,-14.27,50.17,69.03,85,30,2.26,1580179836
32,piacabucu,BR,3454005,-10.41,-36.43,79.56,83,99,9.48,1580179837
33,barrow,US,5880054,71.29,-156.79,-22.0,74,90,6.93,1580179838
34,dikson,RU,1507390,73.51,80.55,-11.22,96,90,4.76,1580179838
35,krasnovishersk,RU,542184,60.41,57.08,-9.98,96,100,3.69,1580179839
36,busselton,AU,2075265,-33.65,115.33,95.0,19,0,10.83,1580179839
37,georgetown,MY,1735106,5.41,100.34,86.0,78,20,6.93,1580179146
38,east london,ZA,1006984,-33.02,27.91,65.41,74,100,5.84,1580179840
39,tuktoyaktuk,CA,6170031,69.45,-133.04,-22.0,74,40,12.75,1580179841
40,omboue,GA,2396853,-1.57,9.26,75.36,95,0,0.49,1580179242
41,ternate,ID,1624041,0.8,127.4,84.43,70,63,5.55,1580179842
42,ostrovnoy,RU,556268,68.05,39.51,3.72,99,68,6.15,1580179843
43,khatanga,RU,2022572,71.97,102.5,-15.7,91,0,8.01,1580179843
44,coquimbo,CL,3893629,-29.95,-71.34,64.4,88,0,5.82,1580179289
45,sibolga,ID,1213855,1.74,98.78,72.84,97,100,2.55,1580179554
46,labuhan,ID,8079926,-6.88,112.21,87.42,66,38,1.83,1580179289
47,castro,BR,3466704,-24.79,-50.01,64.0,96,47,3.49,1580179254
48,bredasdorp,ZA,1015776,-34.53,20.04,50.0,97,30,4.29,1580179846
49,hobart,AU,2163355,-42.88,147.33,77.0,33,32,19.46,1580179671
50,tiksi,RU,2015306,71.69,128.87,-24.14,89,100,5.14,1580179847
51,mezen,RU,527321,65.85,44.24,6.96,97,100,10.11,1580179376
52,tasiilaq,GL,3424607,65.61,-37.64,30.2,58,100,17.22,1580179848
53,qinzhou,CN,1797551,21.95,108.62,53.17,59,17,12.8,1580179849
54,kulob,TJ,1221194,37.91,69.78,39.2,86,90,2.24,1580179849
55,benicia,US,5327550,38.05,-122.16,55.99,87,75,6.93,1580179850
56,geraldton,AU,2070998,-28.77,114.6,82.4,65,0,12.75,1580179465
